Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr,Market Cap Initial,Market Cap Final,Rewards Dispensed ($),1% Share of Rewards (DOUGH Pool) Payout,1% Share of Rewards (LP Pool) Payout
0,0,0.999999465,0.5 / 0.5,1999980 USD,28.40%,23.27%,23.17%,27.85%,-3.26%,549424.69 USD,109515100.56 USD,14746573.43 USD,73732.86713926638,73732.86713926638
0,0,0.999999465,1 / 1,1999980 USD,28.30%,23.23%,26.07%,30.92%,-3.62%,549513.46 USD,648286425.55 USD,97434016.99 USD,487170.0849514079,487170.0849514079
0,0,0.999999465,1.5 / 1.5,1999980 USD,28.20%,23.19%,27.38%,32.04%,-3.76%,549598.21 USD,1925642618.96 USD,300803270.12 USD,1504016.3506099365,1504016.3506099365
0,0,0.999999465,2 / 2,1999980 USD,28.10%,23.15%,28.37%,32.76%,-3.85%,549678.90 USD,4132213812.82 USD,661597755.69 USD,3307988.778457488,3307988.778457488
0,0,0.999999465,2.5 / 2.5,1999980 USD,27.99%,23.10%,29.26%,33.35%,-3.92%,549755.50 USD,7384963263.61 USD,1206235790.20 USD,6031178.951023017,6031178.951023017
