Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr,Market Cap Initial,Market Cap Final,Rewards Dispensed ($),1% Share of Rewards (DOUGH Pool) Payout,1% Share of Rewards (LP Pool) Payout
0,0,0.999999465,3 / 8,16234.79 USD,18.41%,17.14%,61.46%,64.56%,-5.51%,158688.40 USD,9147127.20 USD,2134382.96 USD,10671.91479990325,10671.91479990325
0,0,0.999999465,3 / 8,32495.64 USD,18.41%,17.14%,65.31%,68.78%,-5.86%,158688.40 USD,30315942.98 USD,7554544.31 USD,37772.72154143398,37772.72154143398
0,0,0.999999465,3 / 8,65046.21 USD,18.41%,17.14%,67.53%,71.20%,-6.07%,158688.40 USD,106343354.09 USD,27475934.71 USD,137379.6735612769,137379.6735612769
0,0,0.999999465,3 / 8,130206.03 USD,18.41%,17.14%,68.75%,72.54%,-6.18%,158688.40 USD,384617557.09 USD,101325661.17 USD,506628.3058587599,506628.3058587599
0,0,0.999999465,3 / 8,260644.29 USD,18.41%,17.14%,69.41%,73.26%,-6.24%,158688.40 USD,1413099757.56 USD,376145564.16 USD,1880727.820798526,1880727.820798526
