Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr
200,400,0.999999465,"5,9",15015 USD,27.18%,22.87%,205.22%,361.43%,25.48%
200,400,0.999999465,"5,9",30030 USD,27.18%,22.87%,205.22%,361.20%,22.44%
200,400,0.999999465,"5,9",60060 USD,27.18%,22.87%,205.22%,361.00%,20.30%
200,400,0.999999465,"5,9",120120 USD,27.18%,22.87%,205.22%,360.85%,18.81%
200,400,0.999999465,"5,9",240240 USD,27.18%,22.87%,205.22%,360.71%,17.76%
