Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr,Market Cap Initial,Market Cap Final,Rewards Dispensed ($),1% Share of Rewards (DOUGH Pool) Payout,1% Share of Rewards (LP Pool) Payout
0,0,0.999999465,3 / 8,16229.21 USD,20.50%,20.58%,58.59%,59.69%,1.56%,267041.88 USD,9899577.79 USD,2326490.03 USD,11632.450157669338,11632.450157669338
0,0,0.999999465,3 / 8,32483.57 USD,20.50%,20.58%,62.11%,63.29%,1.20%,267041.88 USD,31603496.44 USD,7902416.35 USD,39512.08172807911,39512.08172807911
0,0,0.999999465,3 / 8,65020.95 USD,20.50%,20.58%,64.21%,65.42%,0.99%,267041.88 USD,108553043.37 USD,28116607.31 USD,140583.03656689308,140583.03656689308
0,0,0.999999465,3 / 8,130153.98 USD,20.50%,20.58%,65.38%,66.61%,0.87%,267041.88 USD,388270148.18 USD,102523336.13 USD,512616.680633099,512616.680633099
0,0,0.999999465,3 / 8,260538.16 USD,20.50%,20.58%,66.01%,67.26%,0.80%,267041.88 USD,1418516974.23 USD,378453032.72 USD,1892265.1636066008,1892265.1636066008
