Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr
200,400,0.999999995,"5,9",30030 USD,27.18%,22.87%,293.67%,578.34%,93.54%
200,400,0.999999965,"5,9",30030 USD,27.18%,22.87%,286.31%,560.28%,87.62%
200,400,0.999999465,"5,9",30030 USD,27.18%,22.87%,205.22%,361.20%,22.44%
200,400,0.999998465,"5,9",30030 USD,27.18%,22.87%,148.01%,220.76%,-23.55%
200,400,0.999997465,"5,9",30030 USD,27.18%,22.87%,129.67%,175.75%,-38.29%
