Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr
200,400,0.999998465,"5,9",30030 USD,27.18%,22.87%,148.01%,220.76%,-23.55%
200,400,0.999998465,"5,9",30030 USD,27.18%,22.87%,148.01%,220.76%,-23.55%
200,400,0.999998465,"5,9",30030 USD,27.18%,22.87%,148.01%,220.76%,-23.55%
200,400,0.999998465,"5,9",30030 USD,27.18%,22.87%,148.01%,220.76%,-23.55%
200,400,0.999998465,"5,9",30030 USD,27.18%,22.87%,148.01%,220.76%,-23.55%
