Reward Per Block,Reward Per Block LP,Decay Rate,Burn Tax,Avg Daily Volume,% $DOUGH Supply Staked in $DOUGH pool,% $DOUGH Supply Staked in LP pool,Avg APR for $DOUGH stakers,Avg APR LP stakers,% Change in Supply After 1 yr
200,400,0.999999465,"5,9",30030 USD,11.09%,13.82%,355.63%,524.23%,7.24%
200,400,0.999999465,"5,9",30030 USD,19.95%,20.19%,242.82%,393.98%,15.69%
200,400,0.999999465,"5,9",30030 USD,27.18%,22.87%,205.22%,361.20%,22.44%
200,400,0.999999465,"5,9",30030 USD,33.20%,23.92%,186.41%,350.70%,27.96%
200,400,0.999999465,"5,9",30030 USD,38.29%,24.21%,175.13%,348.27%,32.57%
